season,team,winrate
1985,New York Rangers,0.375
1985,Colorado Avalanche,0.5753424657534246
1985,New Jersey Devils,0.3194444444444444
1985,Philadelphia Flyers,0.72
1985,Montreal Canadiens,0.6
1985,New York Islanders,0.5394736842105263
1986,Vancouver Canucks,0.34782608695652173
1986,Carolina Hurricanes,0.5256410256410257
1986,Dallas Stars,0.5342465753424658
1986,Boston Bruins,0.5428571428571428
1986,Buffalo Sabres,0.5
1986,St. Louis Blues,0.5205479452054794
1986,Chicago Blackhawks,0.5405405405405406
1986,Pittsburgh Penguins,0.47297297297297297
1986,Los Angeles Kings,0.32432432432432434
1986,Toronto Maple Leafs,0.3466666666666667
1986,Detroit Red Wings,0.23684210526315788
1986,Calgary Flames,0.5616438356164384
1986,Arizona Coyotes,0.36
1986,Edmonton Oilers,0.76
1986,Washington Capitals,0.68
1986,New York Rangers,0.4868421052631579
1986,Colorado Avalanche,0.5789473684210527
1986,New Jersey Devils,0.3670886075949367
1986,Philadelphia Flyers,0.6923076923076923
1986,Montreal Canadiens,0.5466666666666666
1986,New York Islanders,0.5714285714285714
1987,Vancouver Canucks,0.40540540540540543
1987,Carolina Hurricanes,0.5866666666666667
1987,Dallas Stars,0.4305555555555556
1987,Boston Bruins,0.5333333333333333
1987,St. Louis Blues,0.4925373134328358
1987,Buffalo Sabres,0.3918918918918919
1987,Chicago Blackhawks,0.4411764705882353
1987,Pittsburgh Penguins,0.44285714285714284
1987,Los Angeles Kings,0.43243243243243246
1987,Toronto Maple Leafs,0.4342105263157895
1987,Detroit Red Wings,0.4861111111111111
