date,season,location,team1,team2,team1_masseyrating,team2_masseyrating,result,prediction,accuracy
2023-10-01,2023,H,NTG,BRE,-0.22519929817047674,0.2263085102701354,0.5,0,0.5
2023-10-02,2023,A,CHE,FUL,0.39648214780656216,-0.6892702036061209,1.0,1,1.0
2023-10-02,2023,H,FUL,CHE,-0.6892702036061209,0.39648214780656216,0.0,0,1.0
2023-10-07,2023,A,CHE,BUR,0.39648214780656216,-1.5567750373861282,1.0,1,1.0
2023-10-07,2023,A,SHU,FUL,-1.7008825488428898,-0.6892702036061209,0.0,0,1.0
2023-10-07,2023,A,BOU,EVE,-1.3435873566699135,-0.45995338155955806,0.0,0,1.0
2023-10-07,2023,H,FUL,SHU,-0.6892702036061209,-1.7008825488428898,1.0,1,1.0
2023-10-07,2023,A,TOT,LUT,0.5514806326471557,-0.9755357594677777,1.0,1,1.0
2023-10-07,2023,H,CRY,NTG,-0.3262477811388006,-0.22519929817047674,0.5,0,0.5
2023-10-07,2023,H,BUR,CHE,-1.5567750373861282,0.39648214780656216,0.0,0,1.0
2023-10-07,2023,H,LUT,TOT,-0.9755357594677777,0.5514806326471557,0.0,0,1.0
2023-10-07,2023,H,EVE,BOU,-0.45995338155955806,-1.3435873566699135,1.0,1,1.0
2023-10-07,2023,H,MUN,BRE,-0.4516599732792638,0.2263085102701354,1.0,0,0.0
2023-10-07,2023,A,BRE,MUN,0.2263085102701354,-0.4516599732792638,0.0,1,0.0
2023-10-07,2023,A,NTG,CRY,-0.22519929817047674,-0.3262477811388006,0.5,1,0.5
2023-10-08,2023,H,BRH,LIV,0.45530791664800513,1.3163165863944974,0.5,0,0.5
2023-10-08,2023,H,WHU,NEW,-0.005646401696906063,1.5997702660249487,0.5,0,0.5
2023-10-08,2023,H,WLV,AVA,-0.4057098937418827,0.8920735785193186,0.5,0,0.5
2023-10-08,2023,H,ARS,MNC,1.1711383750383944,1.5315896222107068,1.0,0,0.0
2023-10-08,2023,A,LIV,BRH,1.3163165863944974,0.45530791664800513,0.5,1,0.5
2023-10-08,2023,A,NEW,WHU,1.5997702660249487,-0.005646401696906063,0.5,1,0.5
2023-10-08,2023,A,MNC,ARS,1.5315896222107068,1.1711383750383944,0.0,1,0.0
2023-10-08,2023,A,AVA,WLV,0.8920735785193186,-0.4057098937418827,0.5,1,0.5
